title,cuisine,ingredients,clean_ings_str,url,img_src
Supreme Strawberry Topping,Side Dish,"1 pint fresh strawberries, hulled and halved, ⅓ cup white sugar, 1 teaspoon vanilla (Optional)",pint strawberry hulled halved white sugar vanilla optional,https://www.allrecipes.com/recipe/43914/supreme-strawberry-topping/,https://www.allrecipes.com/thmb/Bqj40N_SkGktCB4WdWMfljVUNgk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/703268_original-2fab3dc6b5de4e228e28b031f0d5dd86.jpg
Crustless Cranberry Pie,Desserts,"1 cup all-purpose flour, 1 cup white sugar, ¼ teaspoon salt, 2 cups cranberries, ½ cup chopped walnuts, ½ cup butter, melted, 2 large eggs, beaten, 1 teaspoon almond extract",purpose flour white sugar salt cup cranberry walnut butter melted egg beaten almond extract,https://www.allrecipes.com/recipe/12398/crustless-cranberry-pie/,https://www.allrecipes.com/thmb/DWWgQmt4aS4IE_lDPmt29R_zGjw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12398-crustless-cranberry-pie-VAT-hero-4x3-1-d069d10485214347b6d0e6b3d364d690.jpg
Apple-Cranberry Crisp,Desserts,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg",pound granny smith apple peeled cored thinly cranberry white sugar ground cinnamon ground nutmeg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
Blueberry Smoothie,Drinks Recipes,"1 cup blueberries (frozen or fresh), 1 (8 ounce) container plain yogurt, ¾ cup 2% reduced-fat milk, 2 tablespoons white sugar, ½ teaspoon vanilla extract, ⅛ teaspoon ground nutmeg",blueberry plain yogurt reduced fat milk tablespoon white sugar vanilla extract ground nutmeg,https://www.allrecipes.com/recipe/215184/blueberry-smoothie/,https://www.allrecipes.com/thmb/u5IHOc7Ga6mDYE9QVYrl6HLcqYU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2500040-809d4c9ccb2d44bcbbc4523403d93c06.jpg
Baked Oatmeal,Breakfast and Brunch,"3 cups rolled oats, 1 cup brown sugar, 2 teaspoons ground cinnamon, 2 teaspoons baking powder, 1 teaspoon salt, 2  eggs, 1 cup milk, ½ cup melted butter, 2 teaspoons vanilla extract, ¾ cup dried cranberries",cup rolled oat brown sugar teaspoon ground cinnamon teaspoon baking powder salt egg milk melted butter teaspoon vanilla extract dried cranberry,https://www.allrecipes.com/recipe/51013/baked-oatmeal-ii/,https://www.allrecipes.com/thmb/29vMQYGkP93KsLds9a8cS6djkxY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/608142-00f526b464254ce7a9744294dfd93047.jpg
Strawberry Pie,Desserts,"1 quart fresh strawberries, hulled, 1 (9 inch) pie crust, baked, 1 cup white sugar, 3 tablespoons cornstarch, ¾ cup water, ½ cup heavy whipping cream",quart strawberry hulled inch pie crust baked white sugar tablespoon cornstarch water heavy whipping cream,https://www.allrecipes.com/recipe/15836/strawberry-pie-ii/,https://www.allrecipes.com/thmb/rwRQcLneVFamoZJvSm1izNYttq0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/401339-b2981622a9184595be8773ff9faac72b.jpg
Blackberry Pie,Desserts,"4 cups fresh blackberries, ¾ cup white sugar, divided, ½ cup all-purpose flour, 1 (9 inch) double crust ready-to-use pie crust, 2 tablespoons milk",cup blackberry white sugar divided purpose flour inch double crust ready use pie crust tablespoon milk,https://www.allrecipes.com/recipe/12284/blackberry-pie-i/,https://www.allrecipes.com/thmb/9NeVogNdoTHqJDYD3tW91DD09Co=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/675137-blackberry-pie-Kari-1x1-1-d61061deda3645428fb13d9c63281766.jpg
Easy Cranberry Orange Relish,Side Dish,"1 medium navel orange, 1 (12 ounce) package fresh cranberries, ½ cup white sugar, ⅛ teaspoon ground cinnamon",navel orange cranberry white sugar ground cinnamon,https://www.allrecipes.com/recipe/229740/easy-cranberry-orange-relish/,https://www.allrecipes.com/thmb/cizjk5UxVLaAEtlGu2zLO9eGEjw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7512857-easy-cranberry-orange-relish-cooken-mama-4x3-1-7c026eec18514b2e8f56ba0ac637c807.jpg
Overnight Blueberry French Toast,Breakfast and Brunch,"12 slices day-old bread, cut into 1-inch cubes, 2 (8 ounce) packages cream cheese, cut into 1 inch cubes, 1 cup fresh blueberries, 12  eggs, beaten, 2 cups milk, 1 teaspoon vanilla extract, ⅓ cup maple syrup",slice day old bread cut inch cube package cream cheese cut inch cube blueberry egg beaten cup milk vanilla extract maple syrup,https://www.allrecipes.com/recipe/15057/overnight-blueberry-french-toast/,https://www.allrecipes.com/thmb/Vby_DF911Ba6adX2sUBHD-8lPDY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/381517-overnight-blueberry-french-toast-Melissa-Goff-1x1-1-a44e7d138fdd4cbbb4194ce5f2fdc858.jpg
Chocolate-Covered Strawberries,Desserts,"16 ounces milk chocolate chips, 2 tablespoons shortening,   toothpicks, 1 pound fresh strawberries with leaves",ounce milk chocolate chip tablespoon shortening toothpick strawberry leaf,https://www.allrecipes.com/recipe/21712/chocolate-covered-strawberries/,https://www.allrecipes.com/thmb/lDvx53UzcT_wBYLvXtpc22hOweA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/845742-chocolate-covered-strawberries-Cathy-Van-de-Moortele-1x1-1-582050714d4045a1b10e2fea756afa95.jpg
Rhubarb and Strawberry Pie,Desserts,"1 cup white sugar, ½ cup all-purpose flour, 1 pound rhubarb, cut into 1/4 inch slices, 2 pints strawberries, hulled and quartered, 1 recipe pastry for a 9 inch double crust pie, 2 tablespoons butter, 1 large egg yolk, 2 tablespoons white sugar",white sugar purpose flour rhubarb cut inch slice pint strawberry hulled quartered recipe pastry inch double crust pie tablespoon butter egg yolk tablespoon white sugar,https://www.allrecipes.com/recipe/12612/rhubarb-and-strawberry-pie/,https://www.allrecipes.com/thmb/VxCP_8tBobhnFHAzooLrRu2Yh4M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12612-RhubarbAndStrawberryPie-mfs-4X3-3491-9de1214bfb2040988e0f1acb94b5661c.jpg
Easy Small-Batch Blueberry Jam,Side Dish,"4 cups fresh blueberries, 1 cup white sugar, 1 tablespoon fresh lemon juice, 1 pinch ground cinnamon (Optional)",cup blueberry white sugar lemon juice ground cinnamon optional,https://www.allrecipes.com/recipe/239514/easy-small-batch-blueberry-jam/,https://www.allrecipes.com/thmb/6_lTcQ_vVXFBdwqqFCQ7JkIAZNA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5115974-easy-small-batch-blueberry-jam-Kim-4x3-1-01c688e5e8cb41ae855381532ea6d546.jpg
Melt in Your Mouth Blueberry Cake,Desserts,"½ cup butter, ¾ cup white sugar, divided, ¼ teaspoon salt, 1 teaspoon vanilla extract, 2  egg yolks, 1 ½ cups all-purpose flour, 1 teaspoon baking powder, ⅓ cup milk, 1 ½ cups fresh blueberries, 1 tablespoon all-purpose flour, 2  egg whites, 1 tablespoon white sugar",butter white sugar divided salt vanilla extract egg yolk cup purpose flour baking powder milk cup blueberry purpose flour egg white white sugar,https://www.allrecipes.com/recipe/7358/melt-in-your-mouth-blueberry-cake/,https://www.allrecipes.com/thmb/BhoV89yE6cTVeaWmQeRdP2frD8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/242130-ae5d2ffd9a6849e5a219012bdc5f106b.jpg
Raspberry and Almond Shortbread Thumbprints,Desserts,"1 cup butter, softened, ⅔ cup white sugar, 1 ¼ teaspoons almond extract, divided, 2 cups all-purpose flour, ½ cup seedless raspberry jam, ½ cup confectioners' sugar, 1 teaspoon milk",butter softened white sugar teaspoon almond extract divided cup purpose flour seedless raspberry jam confectioner sugar milk,https://www.allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/,https://www.allrecipes.com/thmb/t0q58TfDf45F-xHs8FKUKtG501w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10222-raspberry-and-almond-shortbread-thumbprints-ingredients-step-vat-hero-1x1-1-96f4de6348254cdba2755a52a396b1b5.jpg
Todd's Famous Blueberry Pancakes,Breakfast and Brunch,"1 ¼ cups all-purpose flour, 1 tablespoon baking powder, 1 ¼ teaspoons white sugar, ½ teaspoon salt, 1 cup milk, 1  egg, ½ tablespoon butter, melted, ½ cup frozen blueberries, thawed",cup purpose flour baking powder teaspoon white sugar salt milk egg butter melted blueberry thawed,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,https://www.allrecipes.com/thmb/ecb0XKvcrE7OyxBLX3OVEd30TbE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/686460-todds-famous-blueberry-pancakes-Dianne-1x1-1-9bd040b975634bce884847ce2090de16.jpg
Fresh Raspberry Sauce,Side Dish,"1 ½ pounds fresh raspberries, ¼ cup white sugar, 1 tablespoon water, or as needed (Optional), 2 teaspoons lemon juice, or more to taste",pound raspberry white sugar water needed optional teaspoon lemon juice,https://www.allrecipes.com/recipe/241308/fresh-raspberry-sauce/,https://www.allrecipes.com/thmb/19H4V5ToXC8NmcIWeg2nHq8kP8E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2063248-f49cf357f5bf4b00be88795ec597ade1.jpg
Strawberry Freezer Jam,Side Dish,"2 cups crushed fresh strawberries, 4 cups sugar, 1 (1.75 ounce) package dry pectin, ¾ cup water",cup crushed strawberry cup sugar pectin water,https://www.allrecipes.com/recipe/51835/strawberry-freezer-jam/,https://www.allrecipes.com/thmb/MlVlbkKY131Whejq8HXAeL70DWc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/84124-048584768111496c9e4aa06275edab98.jpg
Fruit and Yogurt Smoothie,Drinks Recipes,"1 cup strawberries, 1  banana, ½ cup yogurt, ¼ cup pineapple juice, 1 ½ teaspoons white sugar, 1 teaspoon orange juice, 1 teaspoon milk",strawberry banana yogurt pineapple juice teaspoon white sugar orange juice milk,https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/,https://www.allrecipes.com/thmb/nXTnAdimMBtkQieZhloU45cM1V0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/441727-fruit-and-yogurt-smoothie-Alberta-Rose-4x3-1-aa04390dac11483aaeeec142dff1f6c7.jpg
