title,cuisine,ingredients,clean_ings_str,url,img_src
Apple-Cranberry Crostada,Desserts,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream",tablespoon butter pound granny smith apple firm crisp apple peeled quartered cored inch thick macintosh apple soft textured apple fall apart cooked peeled quartered cored inch thick sugar dried cranberry sheet puff pastry thawed still cold follow direction egg white lightly beaten sugar optional ice cream lightly sweetened whipped cream,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg
Apple Pie by Grandma Ople,Desserts,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed",granny smith apple needed unsalted butter tablespoon purpose flour white sugar packed brown sugar water inch double crust pie pastry thawed,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
Sarah's Homemade Applesauce,Side Dish,"4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon",apple peeled cored water white sugar ground cinnamon,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg
Apple Crisp,Desserts,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted",cup purpose apple peeled cored white sugar purpose flour ground cinnamon water quick cooking oat purpose flour packed brown sugar baking powder baking soda butter melted,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg
Apple Pie Filling,Desserts,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg",cup thinly apple tablespoon lemon juice cup water cup white sugar cornstarch teaspoon ground cinnamon salt ground nutmeg,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg
Easy Apple Crisp with Oat Topping,Desserts,"6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter",apple peeled cored tablespoon white sugar teaspoon ground cinnamon divided brown sugar old fashioned oat purpose flour cold butter,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg
Easy Apple Cider,Drinks Recipes,"1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar",fluid bottle apple cider cinnamon stick whole allspice whole clove brown sugar,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg
Apple-Cranberry Crisp,Desserts,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg",pound granny smith apple peeled cored thinly cranberry white sugar ground cinnamon ground nutmeg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
Old-Fashioned Apple Dumplings,Desserts,"1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract",recipe pastry double crust pie granny smith apple peeled cored butter brown sugar ground cinnamon ground nutmeg cup water cup white sugar vanilla extract,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg
Southern Fried Apples,Side Dish,"½ cup butter, ½ cup white sugar, 2 tablespoons ground cinnamon, 4  Granny Smith apples - peeled, cored, and sliced",butter white sugar tablespoon ground cinnamon granny smith apple peeled cored,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg
Apple Turnovers,Desserts,"2 tablespoons lemon juice, 4 cups water, 4  Granny Smith apples - peeled, cored and sliced, 2 tablespoons butter, 1 cup brown sugar, 1 teaspoon ground cinnamon, 1 tablespoon cornstarch, 1 tablespoon water, 1 (17.25 ounce) package frozen puff pastry sheets, thawed, 1 cup confectioners' sugar, 1 tablespoon milk, 1 teaspoon vanilla extract",tablespoon lemon juice cup water granny smith apple peeled cored tablespoon butter brown sugar ground cinnamon cornstarch water puff pastry sheet thawed confectioner sugar milk vanilla extract,https://www.allrecipes.com/recipe/59124/apple-turnovers/,https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg
Apple Crisp - Perfect and Easy,Desserts,"2 ½ cups apples - peeled, cored, and sliced, 1 cup sifted all-purpose flour, 1 cup white sugar, ½ teaspoon ground cinnamon, ¼ teaspoon salt, ½ cup butter, softened",cup apple peeled cored sifted purpose flour white sugar ground cinnamon salt butter softened,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/,https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg
The Best Caramel Apples,Desserts,"8 large tart apples, 8  wooden chopsticks for handles, 2 cups packed brown sugar, 1 (14 ounce) can sweetened condensed milk, 1 cup light corn syrup, 1 cup butter, 2 teaspoons vanilla extract",tart apple wooden chopstick handle cup packed brown sugar sweetened condensed milk light corn syrup butter teaspoon vanilla extract,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg
Mulligatawny Soup,"Soups, Stews and Chili Recipes","½ cup chopped onion, 2 stalks celery, chopped, 1  carrot, diced, ¼ cup butter, 1 ½ tablespoons all-purpose flour, 1 ½ teaspoons curry powder, 4 cups chicken broth, ½  apple, cored and chopped, ¼ cup white rice, 1  skinless, boneless chicken breast half - cut into cubes, 1 pinch dried thyme,   salt and ground black pepper to taste, ½ cup heavy cream, heated",onion stalk celery carrot butter tablespoon purpose flour teaspoon curry powder cup chicken broth apple cored white rice skinless boneless chicken breast half cut cube dried thyme salt ground black pepper heavy cream heated,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/,https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg
Sauteed Apples,Side Dish,"¼ cup butter, 4 large tart apples - peeled, cored and sliced 1/4 inch thick, ½ cup cold water, 2 teaspoons cornstarch, ½ cup brown sugar, ½ teaspoon ground cinnamon",butter tart apple peeled cored inch thick cold water teaspoon cornstarch brown sugar ground cinnamon,https://www.allrecipes.com/recipe/21672/sauteed-apples/,https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg
Homemade Apple Cider,Drinks Recipes,"10 large apples, quartered,   water, to cover, ¾ cup white sugar, 1 tablespoon ground cinnamon, 1 tablespoon ground allspice",apple quartered water cover white sugar ground cinnamon ground allspice,https://www.allrecipes.com/recipe/211772/homemade-apple-cider/,https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg
Canned Apple Pie Filling,Desserts,"4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, ¼ teaspoon ground nutmeg, 10 cups water, 2 teaspoons salt, 3 tablespoons lemon juice, 2 drops yellow food coloring, 6 pounds apples",cup white sugar cornstarch teaspoon ground cinnamon ground nutmeg cup water teaspoon salt tablespoon lemon juice drop yellow food coloring pound apple,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/,https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg
Easy Apple Pie,Desserts,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie, ¾ cup white sugar, or more to taste, 1 teaspoon ground cinnamon, 6 cups thinly sliced apples, 1 tablespoon butter",pastry inch double crust pie white sugar ground cinnamon cup thinly apple butter,https://www.allrecipes.com/recipe/12324/apple-pie-i/,https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg
Apple Crumb Pie,Desserts,"6 cups thinly sliced apples, 1 tablespoon lemon juice (Optional), ¾ cup white sugar, 2 tablespoons all-purpose flour, ½ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, ½ cup raisins (Optional), ½ cup chopped walnuts (Optional), 1 (9 inch) pie shell, ½ cup all-purpose flour, ½ cup packed brown sugar, 3 tablespoons butter",cup thinly apple lemon juice optional white sugar tablespoon purpose flour ground cinnamon ground nutmeg raisin optional walnut optional inch pie shell purpose flour packed brown sugar tablespoon butter,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg
Caramel Apples,Desserts,"6  apples, 6  wooden craft sticks,   cooking spray, 1 (14 ounce) package individually wrapped caramels, unwrapped, 2 tablespoons milk",apple wooden craft stick cooking spray individually wrapped caramel unwrapped tablespoon milk,https://www.allrecipes.com/recipe/21130/caramel-apples/,https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg
German Apple Cake,Cuisine,"1 cup vegetable oil, 2  eggs, 2 cups white sugar, 1 teaspoon vanilla extract, 2 cups all-purpose flour, 2 teaspoons ground cinnamon, 1 teaspoon baking soda, ½ teaspoon salt, 4 cups apples - peeled, cored and diced",vegetable oil egg cup white sugar vanilla extract cup purpose flour teaspoon ground cinnamon baking soda salt cup apple peeled cored,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg
"Awesome Sausage, Apple and Cranberry Stuffing",Side Dish,"3 ¾ cups cubed white bread, 1 ½ cups cubed whole wheat bread, 1 pound ground turkey sausage, 1 cup chopped onion, ¾ cup chopped celery, 2 ½ teaspoons dried sage, 1 ½ teaspoons dried rosemary, ½ teaspoon dried thyme, 1  Golden Delicious apple, cored and chopped, ¾ cup dried cranberries, ⅓ cup minced fresh parsley, 1  cooked turkey liver, finely chopped, ¾ cup turkey stock, 4 tablespoons unsalted butter, melted",cup cubed white bread cup cubed whole wheat bread ground turkey sausage onion celery teaspoon dried sage teaspoon dried rosemary dried thyme golden delicious apple cored dried cranberry parsley cooked turkey liver finely turkey stock tablespoon unsalted butter melted,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg
Apple Hand Pies,Desserts,"2 tablespoons butter, 2 large green apples - peeled, cored, and cut into chunks, 2 tablespoons brown sugar, ¼ cup white sugar, ¼ teaspoon salt, 1 ½ teaspoons ground cinnamon, or to taste, 1 teaspoon water, or more if needed (Optional), 1 pound prepared pie dough, cut into 4 pieces, 1  egg, 2 teaspoons milk, 1 teaspoon white sugar, or as needed",tablespoon butter green apple peeled cored cut chunk tablespoon brown sugar white sugar salt teaspoon ground cinnamon water needed optional prepared pie dough cut piece egg teaspoon milk white sugar needed,https://www.allrecipes.com/recipe/234374/apple-hand-pies/,https://www.allrecipes.com/thmb/euXNMeXiywj4v6L_dLhpSqwsN0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234374-apple-hand-pies-mfs-1-8458cf2b0e764a7ab31c2d6aa0e3e841.jpg
Amazing Apple Butter,Side Dish,"10 pounds apples, quartered, 4 cups unsweetened apple juice, 1 cup white sugar, 1 tablespoon apple cider vinegar, 1 ½ teaspoons ground cinnamon, ½ teaspoon ground cloves, ½ teaspoon ground allspice, 6  half-pint canning jars with lids and rings",pound apple quartered cup unsweetened apple juice white sugar apple cider vinegar teaspoon ground cinnamon ground clove ground allspice half pint canning jar lid ring,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/,https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg
Easy Apple Cinnamon Muffins,Bread,"1 ½ cups all-purpose flour, ¾ cup white sugar, 2 teaspoons baking powder, 1 teaspoon ground cinnamon, ½ teaspoon salt, 1  egg, ⅓ cup vegetable oil, ⅓ cup milk, 2  apples - peeled, cored and chopped",cup purpose flour white sugar teaspoon baking powder ground cinnamon salt egg vegetable oil milk apple peeled cored,https://www.allrecipes.com/recipe/24352/easy-apple-cinnamon-muffins/,https://www.allrecipes.com/thmb/KJ3htdTnxZsf9tSvbqILDsqeSaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5907258-easy-apple-cinnamon-muffins-Kelly-McCulley-1x1-1-b3c6941ddef3499bafc0399c022ac08f.jpg
Debbie's Amazing Apple Bread,Bread,"2  eggs, 2 cups white sugar, ½ cup vegetable oil, 2 teaspoons vanilla extract, 2 cups apples, peeled and diced, 2 cups all-purpose flour, 1 ½ teaspoons salt, 1 teaspoon baking powder, ½ teaspoon ground cinnamon, or more to taste",egg cup white sugar vegetable oil teaspoon vanilla extract cup apple peeled cup purpose flour teaspoon salt baking powder ground cinnamon,https://www.allrecipes.com/recipe/231288/debbies-amazing-apple-bread/,https://www.allrecipes.com/thmb/scNfqqIpDtfCcaFQIjsvzmxCSV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580871_Debbies-Amazing-Apple-Bread-1x1-1-3f46182021ab4a889b86f7dac9c1c9fb.jpg
Mom's Apple Fritters,Bread,"1 quart vegetable oil for deep-frying, 1 ½ cups all-purpose flour, 1 tablespoon white sugar, 2 teaspoons baking powder, ½ teaspoon salt, ⅔ cup milk, 2 large eggs, beaten, 1 tablespoon vegetable oil, 3 cups apples - peeled, cored and chopped, 1 cup cinnamon sugar",quart vegetable oil deep frying cup purpose flour white sugar teaspoon baking powder salt milk egg beaten vegetable oil cup apple peeled cored cinnamon sugar,https://www.allrecipes.com/recipe/90295/moms-apple-fritters/,https://www.allrecipes.com/thmb/cU_5TCv2LWEf-I2QJbXTsJUaGSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/90295-moms-apple-fritters-ddmfs-1X1-5783-a6edf46cd33c4a00ad5a02432822e57d.jpg
Easy Apple Crisp with Pie Filling,Desserts,"1 (21 ounce) can apple pie filling, ½ teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 1 cup margarine, ¼ cup brown sugar, 2 cups all-purpose flour",apple pie filling ground cinnamon ground nutmeg margarine brown sugar cup purpose flour,https://www.allrecipes.com/recipe/22917/easy-apple-crisp-with-pie-filling/,https://www.allrecipes.com/thmb/bQ7QL-XFrgBwNMsa43zSyaX_xmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7813774-acbbc3ca7c0f4caaa24f2d4c07b7b83f.jpg
Apple Strudel Muffins,Bread,"2 cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, 1 cup white sugar, ½ cup butter, 2 large eggs, 1 ¼ teaspoons vanilla, 1 ½ cups chopped apples",cup purpose flour baking powder baking soda salt white sugar butter egg teaspoon vanilla cup apple,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/,https://www.allrecipes.com/thmb/QTc6kTodu38CuuTDlcAz9XbueDA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1097944-apple-strudel-muffins-Korona-1x1-2-6710dec0aba7474a80c89f21a2059ebc.jpg
Delicious Cinnamon Baked Apples,Desserts,"1 teaspoon butter, 2 tablespoons brown sugar, 3 teaspoons vanilla sugar, 3 teaspoons ground cinnamon, 1 teaspoon ground nutmeg, 6 large apples - peeled, cored, and sliced, 3 ½ tablespoons water",butter tablespoon brown sugar teaspoon vanilla sugar teaspoon ground cinnamon ground nutmeg apple peeled cored tablespoon water,https://www.allrecipes.com/recipe/228683/delicious-cinnamon-baked-apples/,https://www.allrecipes.com/thmb/wYuZO3nEvxY6WgITCcHa78l2wlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228683-delicious-cinnamon-baked-apples-ddmfs-4X3-1428-9500d581c4ad4d74acc67e4f6c947326.jpg
Waldorf Salad,Salad,"½ cup mayonnaise, 1 tablespoon white sugar, 1 teaspoon lemon juice, ⅛ teaspoon salt, 3  apples -- peeled, cored, and chopped, 1 cup thinly sliced celery, ½ cup chopped walnuts, ½ cup raisins (Optional)",mayonnaise white sugar lemon juice salt apple peeled cored thinly celery walnut raisin optional,https://www.allrecipes.com/recipe/16800/waldorf-salad-ii/,https://www.allrecipes.com/thmb/0-fRnnKLjtwxVaqh2PUbkiOTbVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2180807_Waldorf-Salad-II-4x3-1-0d929166ff114b14a0e818e001e0dbe4.jpg
Apple-Cranberry Crostada,Desserts,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream",tablespoon butter pound granny smith apple firm crisp apple peeled quartered cored inch thick macintosh apple soft textured apple fall apart cooked peeled quartered cored inch thick sugar dried cranberry sheet puff pastry thawed still cold follow direction egg white lightly beaten sugar optional ice cream lightly sweetened whipped cream,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg
Apple Pie by Grandma Ople,Desserts,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed",granny smith apple needed unsalted butter tablespoon purpose flour white sugar packed brown sugar water inch double crust pie pastry thawed,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
Sarah's Homemade Applesauce,Side Dish,"4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon",apple peeled cored water white sugar ground cinnamon,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg
Apple Crisp,Desserts,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted",cup purpose apple peeled cored white sugar purpose flour ground cinnamon water quick cooking oat purpose flour packed brown sugar baking powder baking soda butter melted,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg
Apple Pie Filling,Desserts,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg",cup thinly apple tablespoon lemon juice cup water cup white sugar cornstarch teaspoon ground cinnamon salt ground nutmeg,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg
Easy Apple Crisp with Oat Topping,Desserts,"6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter",apple peeled cored tablespoon white sugar teaspoon ground cinnamon divided brown sugar old fashioned oat purpose flour cold butter,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg
Easy Apple Cider,Drinks Recipes,"1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar",fluid bottle apple cider cinnamon stick whole allspice whole clove brown sugar,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg
Apple-Cranberry Crisp,Desserts,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg",pound granny smith apple peeled cored thinly cranberry white sugar ground cinnamon ground nutmeg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
Old-Fashioned Apple Dumplings,Desserts,"1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract",recipe pastry double crust pie granny smith apple peeled cored butter brown sugar ground cinnamon ground nutmeg cup water cup white sugar vanilla extract,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg
Southern Fried Apples,Side Dish,"½ cup butter, ½ cup white sugar, 2 tablespoons ground cinnamon, 4  Granny Smith apples - peeled, cored, and sliced",butter white sugar tablespoon ground cinnamon granny smith apple peeled cored,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg
